gene,sexA,sexB,rank,type,statusA,statusB,lePathA,lePathB,exclu,pval,ncols,leA,leB,typePair
AAAS,10_0,16_0,2,deletion,can,no,13,0,FALSE,0.00014,22,41,27,UNREL
AAAS,10_0,7_0,2,deletion,can,can,13,13,FALSE,2e-04,31,41,33,No
AAAS,11_1,7_0,2,deletion,no,can,0,13,FALSE,0.00017,20,25,33,UNREL
AAAS,16_0,7_0,2,deletion,no,can,0,13,FALSE,3.8e-05,12,27,33,UNREL
AAGAB,11_0,1_0,1,deletion,can,anc,2,0,FALSE,1.2e-16,25,25,75,REL
AAGAB,12_0,1_0,1,deletion,can,anc,2,0,FALSE,9.1e-09,17,17,75,REL
AAK1,2_4,2_6,9,alternative,anc,can,0,3,FALSE,0.00038,17,17,49,REL
AARS,7_2,7_4,2,deletion,can,anc,1,0,FALSE,4.8e-29,48,49,48,REL
AASDH,14_0,1_3,1,alternative_end,can,anc,4,0,TRUE,3.4e-05,45,55,89,REL
AASDH,14_0,21_1,1,alternative_end,can,can,4,4,TRUE,7.9e-05,41,55,44,No
AASDH,14_0,4_0,1,alternative_end,can,can,4,4,TRUE,4.2e-10,38,55,136,No
AASDH,21_0,21_1,1,alternative_end,can,can,4,4,TRUE,2.7e-06,39,41,44,No
AASDH,21_0,21_1,2,deletion,can,anc,1,0,FALSE,2.7e-06,39,41,44,REL
AASDH,21_0,4_0,1,alternative_end,can,can,4,4,TRUE,7.1e-09,37,41,136,No
AASDH,21_0,4_0,2,deletion,can,no,1,0,FALSE,7.1e-09,37,41,136,UNREL
AASDH,21_1,4_0,1,alternative_end,can,can,4,4,TRUE,2.5e-09,39,44,136,No
ABCA4,19_0,32_1,1,deletion,can,no,32,0,FALSE,1.2e-07,16,60,36,UNREL
ABCA4,22_0,26_0,1,deletion,no,can,0,32,FALSE,1.6e-05,24,48,48,UNREL
ABCA4,22_0,31_0,1,deletion,no,can,0,32,FALSE,9.4e-05,25,48,45,UNREL
ABCA4,27_0,30_0,1,deletion,can,no,32,0,FALSE,1e-07,22,47,45,UNREL
ABCA4,27_0,42_0,1,deletion,can,no,32,0,FALSE,3.3e-08,25,47,35,UNREL
ABCA4,43_2,7_0,1,deletion,no,can,0,32,FALSE,3.3e-06,32,32,50,UNREL
ABCB11,1_5,4_0,1,alternative_end,can,no,1,0,TRUE,7.8e-18,58,66,60,UNREL
ABCB4,4_0,4_2,3,deletion,no,can,0,1,FALSE,2.2e-27,42,42,42,No
ABCB4,4_1,4_2,3,deletion,no,can,0,1,FALSE,4.5e-21,42,66,42,No
ABCB4,4_2,4_4,3,deletion,can,anc,1,0,FALSE,1.5e-26,42,42,42,REL
ABCB4,4_2,4_5,3,deletion,can,no,1,0,FALSE,5.4e-22,42,42,66,UNREL
ABCB5,10_1,7_0,3,alternative_end,no,can,0,22,TRUE,3.8e-05,38,38,68,UNREL
ABCB5,11_1,4_3,3,alternative_end,can,no,22,0,TRUE,5.3e-05,38,43,41,UNREL
ABCB5,12_2,22_0,3,alternative_end,can,no,22,0,TRUE,4e-04,14,52,37,UNREL
ABCB5,22_0,8_4,3,alternative_end,no,can,0,22,TRUE,9.8e-06,16,37,59,UNREL
ABCB5,5_0,5_2,3,alternative_end,anc,can,0,22,TRUE,1.4e-28,49,57,49,REL
ABCB5,6_1,6_2,3,alternative_end,no,can,0,22,TRUE,1.8e-16,67,67,69,UNREL
ABCB5,8_0,8_4,3,alternative_end,no,can,0,22,TRUE,7.9e-19,42,42,59,UNREL
ABCB5,9_0,9_3,3,alternative_end,can,can,22,22,TRUE,1.8e-18,50,50,63,No
ABCB9,11_0,3_0,1,deletion,anc,can,0,1,FALSE,1.3e-21,47,58,110,REL
ABCC11,21_0,6_0,1,deletion,can,no,1,0,FALSE,1.5e-10,27,38,68,UNREL
ABCC12,10_0,31_0,1,deletion,no,can,0,1,FALSE,1e-04,12,49,24,UNREL
ABCC12,31_0,6_0,1,deletion,can,no,1,0,FALSE,4.8e-05,13,24,64,UNREL
ABCC3,13_0,7_0,1,alternative_end,can,can,39,39,TRUE,8.8e-11,52,56,66,No
ABCC3,16_0,23_0,1,alternative_end,can,can,39,39,TRUE,9.4e-09,33,53,43,No
ABCC4,10_0,18_0,2,alternative_end,can,no,11,0,TRUE,1.1e-05,22,58,29,UNREL
ABCC4,10_0,27_0,2,alternative_end,can,no,11,0,TRUE,1.2e-07,32,58,32,UNREL
ABCC4,15_1,4_0,3,deletion,can,no,1,0,FALSE,8.2e-05,11,30,82,UNREL
ABCC4,15_1,4_0,2,alternative_end,no,can,0,11,TRUE,8.2e-05,11,30,82,UNREL
ABCC4,29_0,4_0,2,alternative_end,can,can,11,11,TRUE,8.2e-18,30,30,82,No
ABCC4,29_0,8_0,2,alternative_end,can,no,11,0,TRUE,0.00013,30,30,64,UNREL
ABCC4,4_0,8_0,2,alternative_end,can,no,11,0,TRUE,1.1e-08,59,82,64,UNREL
ABCC5,12_0,24_0,1,alternative_end,can,can,45,45,TRUE,4.8e-08,27,68,38,No
ABCC5,12_0,24_0,3,alternative_end,can,can,45,45,TRUE,4.8e-08,27,68,38,No
ABCC5,12_0,24_0,6,alternative_end,can,can,53,53,TRUE,4.8e-08,27,68,38,No
ABCC5,12_0,6_0,1,alternative_end,can,can,45,45,TRUE,3.1e-07,40,68,55,No
ABCC5,12_0,6_0,3,alternative_end,can,can,45,45,TRUE,3.1e-07,40,68,55,No
ABCC5,12_0,6_0,6,alternative_end,can,can,53,53,TRUE,3.1e-07,40,68,55,No
ABCC5,13_1,34_0,1,alternative_end,can,can,45,45,TRUE,4e-04,13,59,24,No
ABCC5,13_1,34_0,3,alternative_end,can,can,45,45,TRUE,4e-04,13,59,24,No
ABCC5,13_1,34_0,6,alternative_end,can,can,53,53,TRUE,4e-04,13,59,24,No
ABCC9,21_0,21_2,1,alternative_end,can,alt,2,1,TRUE,2.3e-09,40,40,45,MEX
ABCC9,21_0,21_2,13,alternative_end,can,no,57,0,TRUE,2.3e-09,40,40,45,No
ABCC9,21_0,21_2,14,alternative_end,can,no,57,0,TRUE,2.3e-09,40,40,45,No
ABCC9,22_0,36_0,13,alternative_end,can,can,57,57,TRUE,4.9e-12,27,45,27,No
ABCC9,22_0,36_0,14,alternative_end,can,can,57,57,TRUE,4.9e-12,27,45,27,No
ABCC9,28_0,28_4,13,alternative_end,can,can,57,57,TRUE,5.8e-07,27,32,27,No
ABCC9,28_0,28_4,14,alternative_end,can,can,57,57,TRUE,5.8e-07,27,32,27,No
ABCD3,18_0,18_1,2,alternative,alt,can,1,1,TRUE,4.6e-07,24,24,24,MEX
ABI3BP,10_0,20_7,17,alternative_end,can,alt,20,23,FALSE,6.2e-24,16,44,17,ALT
ABI3BP,10_0,20_7,18,alternative,no,alt,0,4,FALSE,6.2e-24,16,44,17,No
